"Date","Transaction","Name","Memo","Amount"
"2025-10-03","DEBIT","MSFT * E0800XM2BU      800-6427676   WA","24204295276000500907214; 05045; ; ; ;","-12.50"
"2025-10-03","DEBIT","SOON MOVEMENT GLOBAL   SMGLOBAL.ORG  CA","24492165276100001184705; 08661; ; ; ;","-1200.00"
"2025-10-07","DEBIT","AMAZON MKTPL*NF1YB0NM0 Amzn.com/bill WA","24692165279104642303547; 05942; ; ; ;","-106.87"
"2025-10-10","DEBIT","AMAZON MKTPL*NF6W36DM0 Amzn.com/bill WA","24692165282107193406275; 05942; ; ; ;","-32.28"
"2025-10-14","DEBIT","Amazon.com*NF3FG95M2   Amzn.com/bill WA","24692165285100589846938; 05942; ; ; ;","-148.91"
"2025-10-14","DEBIT","THE HOME DEPOT #1050   BAKERSFIELD   CA","24943015284010201241977; 05200; ; ; ;","-16.93"
"2025-10-14","DEBIT","LOTTE USA WORLD        714-2281004   CA","24355895283540142865036; 05111; ; ; ;","-532.01"
"2025-10-15","DEBIT","AMAZON MKTPL*NM3JF3QH0 Amzn.com/bill WA","24692165288102648435650; 05942; ; ; ;","-167.78"
"2025-10-16","DEBIT","AMAZON MKTPL*NM6FI3Z02 Amzn.com/bill WA","24692165289103543121857; 05942; ; ; ;","-5.95"
"2025-10-16","DEBIT","AMAZON MKTPL*NM2UN6290 Amzn.com/bill WA","24692165288103165224758; 05942; ; ; ;","-9.99"
"2025-10-22","DEBIT","Amazon.com*NU5RK8B41   Amzn.com/bill WA","24692165294108901671883; 05942; ; ; ;","-42.78"
"2025-11-03","DEBIT","MSFT * E0800XUVOW      800-6427676   WA","24204295307000800740094; 05045; ; ; ;","-12.50"
"2025-11-03","DEBIT","AMAZON MKTPL*NK7198XA0 Amzn.com/bill WA","24692165305108428796244; 05942; ; ; ;","-20.56"
"2025-11-10","DEBIT","AMAZON RETA* BT2016O42 WWW.AMAZON.CO WA","24011345312100037588180; 05331; ; ; ;","-15.10"
"2025-11-10","CREDIT","Canva* paAAAG4AT7V6T7N Kent          DE","74793385311001584233228; 07221; ; ; ;","1.00"
"2025-11-10","DEBIT","Canva* paAAAG4AT7V6T7N Kent          DE","24793385311000316748227; 07221; ; ; ;","-1.00"
"2025-11-24","DEBIT","WAL-MART #3138         BAKERSFIELD   CA","24455015327142001373871; 05411; ; ; ;","-625.91"
"2025-12-10","CREDIT","PROV FR CR AMAZON MKTPL*NM3JF3 # 5650","SDSPRBPD5344111440; 05999; ; ; ;","167.78"
"2025-12-10","CREDIT","CHARGE OFF","; ; ; ; ;","0.00"
"2025-12-12","CREDIT","CREDIT ADJ- CARDHOLDER DISPUTE 10","24692165288102648435650; 05999; ; ; ;","167.78"
